Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,涨跌幅,涨跌额,换手率
2020-05-14,600570,43.56,43.61,44.27,43.34,68932,723305392.0,2.13,-0.34,-0.15,0.86
2020-05-15,600570,43.81,43.44,44.56,43.36,83840,882404288.0,2.75,-0.39,-0.17,1.04
2020-05-18,600570,43.42,43.3,43.74,42.49,92623,960424512.0,2.88,-0.32,-0.14,1.15
2020-05-19,600570,44.18,45.2,45.7,43.89,176014,1905091072.0,4.18,4.39,1.9,2.19
2020-05-20,600570,45.24,45.01,46.09,44.69,109076,1186732768.0,3.1,-0.42,-0.19,1.36
2020-05-21,600570,45.03,43.22,45.24,42.83,137758,1453582592.0,5.35,-3.98,-1.79,1.72
2020-05-22,600570,43.34,42.79,44.1,42.44,104534,1082508528.0,3.84,-0.99,-0.43,1.3
2020-05-25,600570,42.79,42.65,43.1,41.82,78392,797915696.0,2.99,-0.33,-0.14,0.98
2020-05-26,600570,43.09,43.89,44.09,43.04,89912,943308848.0,2.46,2.91,1.24,1.12
2020-05-27,600570,43.89,43.29,44.27,43.23,62861,660342224.0,2.37,-1.37,-0.6,0.78
2020-05-28,600570,44.06,43.41,45.24,43.37,138700,1471673168.0,4.32,0.28,0.12,1.73
2020-05-29,600570,43.47,43.89,44.37,43.04,103397,1084013312.0,3.06,1.11,0.48,1.29
2020-06-01,600570,46.09,46.45,46.91,45.24,179365,1990935760.0,3.8,5.83,2.56,2.23
2020-06-02,600570,46.46,45.66,46.72,45.55,81990,901339520.0,2.52,-1.7,-0.79,1.02
2020-06-03,600570,46.03,45.5,46.45,45.16,90360,989529008.0,2.83,-0.35,-0.16,1.13
2020-06-04,600570,45.88,45.5,45.91,44.73,65028,706786208.0,2.59,0.0,0.0,0.81
2020-06-05,600570,45.76,45.69,45.98,44.47,134560,1112373216.0,3.32,0.42,0.19,1.29
2020-06-08,600570,45.77,46.6,47.18,45.76,174100,1486806544.0,3.11,1.99,0.91,1.67
2020-06-09,600570,46.64,46.86,47.31,46.3,107806,926459952.0,2.17,0.56,0.26,1.03
2020-06-10,600570,46.89,48.68,49.2,46.86,176773,1566794768.0,4.99,3.88,1.82,1.69
2020-06-11,600570,48.68,50.11,51.13,48.54,179867,1654659040.0,5.32,2.94,1.43,1.72
2020-06-12,600570,49.11,49.62,50.92,49.08,169266,1559984304.0,3.67,-0.98,-0.49,1.62
2020-06-15,600570,49.81,50.58,51.48,49.81,175933,1640637888.0,3.37,1.93,0.96,1.69
2020-06-16,600570,51.62,51.39,51.89,50.92,115907,1092011936.0,1.92,1.6,0.81,1.11
2020-06-17,600570,51.64,52.0,52.19,50.92,116874,1103472800.0,2.47,1.19,0.61,1.12
2020-06-18,600570,51.97,50.87,52.31,49.06,221586,2055577440.0,6.25,-2.17,-1.13,2.12
2020-06-19,600570,51.08,51.64,52.3,50.95,166301,1581118432.0,2.65,1.51,0.77,1.59
2020-06-22,600570,52.14,53.64,54.26,51.81,179246,1749395232.0,4.74,3.87,2.0,1.72
2020-06-23,600570,53.17,56.2,56.69,52.94,202623,2039126352.0,6.99,4.77,2.56,1.94
2020-06-24,600570,55.93,56.73,57.27,55.66,138681,1433731520.0,2.86,0.94,0.53,1.33
2020-06-29,600570,57.99,56.62,58.29,55.54,161173,1668261568.0,4.85,-0.19,-0.11,1.54
2020-06-30,600570,56.75,58.78,60.6,56.67,251524,2702390000.0,6.94,3.81,2.16,2.41
2020-07-01,600570,58.58,58.39,59.31,56.53,186231,1983250352.0,4.73,-0.66,-0.39,1.78
